country,year,crop_yield_t_per_ha,fertilizer_kg_per_ha,rainfall_mm,temperature_c,irrigation_pct,gdp_agri_usd_b,agri_employment_pct,rural_pop_pct,co2_agri_mt,food_inflation_pct,water_productivity_kg_per_mm_ha,emissions_intensity_mt_per_usdB,decade
Brazil,2010,2.917,191.9,1379.0,24.0,12.3,87.72,8.99,12.4,91.86,8.11,2.11530094271211,1.0471956224350205,2010
Brazil,2011,2.975,198.1,1901.0,24.3,12.9,86.34,9.23,12.57,80.7,2.28,1.5649658074697528,0.9346768589298123,2010
Brazil,2012,2.159,185.2,1707.0,24.8,13.3,100.0,8.65,12.5,107.89,3.37,1.2647920328060926,1.0789,2010
Brazil,2013,1.0,179.9,1933.0,26.0,12.1,94.16,7.61,12.26,90.66,7.17,0.5173305742369374,0.9628292268479184,2010
Brazil,2014,1.419,197.6,1825.0,25.3,14.2,106.76,8.21,11.45,89.08,7.53,0.7775342465753424,0.8343949044585987,2010
Brazil,2015,2.557,193.6,1698.0,24.6,12.0,122.01,6.98,11.68,63.93,3.66,1.505889281507656,0.5239734447996066,2010
Brazil,2016,1.0,209.9,1954.0,25.8,12.0,109.04,7.71,10.47,72.11,0.47,0.5117707267144319,0.6613169479090242,2010
Brazil,2017,1.143,212.3,1831.0,25.7,12.0,119.14,7.28,9.98,96.65,2.35,0.6242490442381212,0.8112304851435287,2010
Brazil,2018,1.334,203.2,1542.0,25.5,12.0,122.35,6.89,10.11,98.62,4.61,0.8651102464332037,0.8060482223130364,2010
Brazil,2019,3.014,211.2,1436.0,24.0,10.4,116.87,6.54,8.77,86.73,10.2,2.098885793871866,0.7421066141867032,2010
Brazil,2020,1.994,227.2,1598.0,25.0,11.3,128.37,6.5,7.79,101.91,5.95,1.2478097622027535,0.7938770740827296,2020
Brazil,2021,2.515,197.4,1816.0,24.8,13.8,137.34,6.66,8.43,77.11,5.72,1.3849118942731278,0.5614533275083734,2020
Brazil,2022,1.735,244.4,1980.0,25.5,16.4,128.9,5.02,7.55,94.73,-0.51,0.8762626262626263,0.734910783553142,2020
Brazil,2023,2.353,223.3,1482.0,24.4,14.2,157.93,6.3,9.84,103.63,1.04,1.587719298245614,0.6561767871841955,2020
Brazil,2024,1.925,234.7,1624.0,24.9,12.5,152.05,5.44,7.51,98.19,0.86,1.1853448275862069,0.6457744163104241,2020
Argentina,2010,1.781,151.4,1006.0,19.1,7.6,32.3,7.56,9.49,29.68,8.35,1.7703777335984094,0.9188854489164088,2010
Argentina,2011,2.379,163.0,942.0,19.4,10.0,34.87,7.97,7.28,28.62,-0.11,2.5254777070063694,0.82076283338113,2010
Argentina,2012,2.801,173.2,917.0,19.4,10.8,42.72,7.53,6.91,42.21,6.72,3.054525627044711,0.988061797752809,2010
Argentina,2013,1.143,161.0,768.0,18.5,13.6,46.26,6.99,6.53,43.42,0.57,1.48828125,0.9386078685689582,2010
Argentina,2014,2.557,169.3,857.0,19.6,10.1,43.89,7.64,6.46,40.14,-3.2,2.983663943990665,0.9145591250854409,2010
Argentina,2015,2.143,155.3,768.0,18.9,9.8,48.22,5.7,6.02,33.25,3.69,2.7903645833333335,0.6895479054334301,2010
Argentina,2016,2.609,174.3,1044.0,19.5,9.2,46.38,6.35,5.72,31.58,5.36,2.4990421455938696,0.6808969383354894,2010
Argentina,2017,1.873,201.1,1103.0,19.0,10.1,43.84,5.55,5.42,47.49,2.08,1.6980961015412512,1.0832572992700729,2010
Argentina,2018,1.524,147.8,882.0,18.8,9.7,48.53,5.54,3.57,28.29,13.52,1.727891156462585,0.5829383886255924,2010
Argentina,2019,4.001,163.4,1098.0,22.0,8.6,53.25,5.5,5.61,32.28,4.02,3.6438979963570133,0.6061971830985916,2010
Argentina,2020,2.975,185.5,859.0,19.6,8.3,56.58,4.84,4.16,36.72,6.89,3.463329452852154,0.6489925768822905,2020
Argentina,2021,3.036,185.0,938.0,19.8,11.1,57.13,4.89,3.53,53.05,11.29,3.236673773987207,0.9285839313845614,2020
Argentina,2022,3.487,176.1,780.0,20.7,11.7,66.18,3.35,3.85,42.72,0.56,4.470512820512821,0.6455122393472348,2020
Argentina,2023,2.817,192.5,906.0,19.5,11.1,65.65,4.19,3.83,25.67,4.05,3.109271523178808,0.391012947448591,2020
Argentina,2024,1.123,196.0,860.0,18.4,12.1,80.16,2.88,3.0,40.32,4.75,1.3058139534883721,0.502994011976048,2020
Chile,2010,1.0,157.0,342.0,16.9,38.5,12.42,7.5,11.79,8.31,2.21,2.9239766081871346,0.6690821256038648,2010
Chile,2011,1.0,131.0,328.0,16.4,37.7,13.19,7.79,12.11,5.99,4.73,3.048780487804878,0.45413191811978776,2010
Chile,2012,1.0,140.3,354.0,17.1,34.3,11.86,6.42,10.35,7.27,6.25,2.824858757062147,0.6129848229342327,2010
Chile,2013,1.0,154.7,218.0,16.8,36.2,13.82,7.07,9.36,7.68,7.36,4.587155963302752,0.5557163531114326,2010
Chile,2014,1.0,166.8,313.0,17.3,35.3,14.78,6.44,10.56,9.05,6.08,3.194888178913738,0.6123139377537213,2010
Chile,2015,1.0,152.4,295.0,16.9,38.7,13.17,5.42,11.04,7.6,1.71,3.389830508474576,0.5770690964312832,2010
Chile,2016,1.0,166.1,300.0,17.7,38.8,15.93,5.53,11.23,8.62,-3.01,3.3333333333333335,0.5411173885750157,2010
Chile,2017,1.0,154.5,304.0,17.7,34.2,13.92,3.94,8.64,9.33,7.1,3.289473684210526,0.6702586206896551,2010
Chile,2018,1.0,146.3,217.0,16.7,36.9,16.64,5.02,8.9,9.67,5.92,4.608294930875576,0.5811298076923077,2010
Chile,2019,1.0,157.1,294.0,16.8,39.8,16.12,4.61,8.21,8.81,8.32,3.401360544217687,0.5465260545905707,2010
Chile,2020,1.0,152.8,247.0,14.8,37.1,18.29,3.83,8.14,10.43,10.31,4.048582995951417,0.5702569710224167,2020
Chile,2021,1.0,187.0,303.0,16.1,37.7,15.77,3.17,7.35,10.9,11.88,3.3003300330033003,0.6911857958148383,2020
Chile,2022,1.0,178.4,263.0,17.1,38.9,15.84,3.96,6.78,8.87,0.72,3.802281368821293,0.5599747474747474,2020
Chile,2023,1.0,181.7,293.0,17.0,40.3,21.28,2.89,5.77,11.37,3.67,3.4129692832764507,0.5343045112781954,2020
Chile,2024,1.0,184.0,295.0,17.1,43.8,23.27,2.84,6.51,11.54,1.62,3.389830508474576,0.4959174903308981,2020
Peru,2010,2.635,115.5,1127.0,19.6,34.1,19.53,26.16,20.77,12.8,6.39,2.3380656610470276,0.6554019457245264,2010
Peru,2011,4.092,130.0,1533.0,21.0,34.7,22.14,24.01,19.6,21.72,5.89,2.669275929549902,0.9810298102981029,2010
Peru,2012,3.623,136.1,1605.0,20.5,35.4,19.51,24.66,18.6,17.61,9.34,2.257320872274143,0.9026140440799589,2010
Peru,2013,3.705,135.0,1582.0,20.3,37.9,18.11,23.9,17.41,12.51,10.46,2.3419721871049304,0.6907785753727222,2010
Peru,2014,1.06,133.3,1230.0,18.2,35.3,25.84,24.06,18.01,17.36,-1.24,0.8617886178861789,0.6718266253869969,2010
Peru,2015,3.789,144.0,1485.0,21.2,37.4,23.26,23.09,18.63,20.88,1.12,2.5515151515151517,0.8976784178847806,2010
Peru,2016,3.915,159.2,1466.0,21.7,36.2,25.14,23.28,17.78,21.64,3.55,2.670532060027285,0.8607796340493238,2010
Peru,2017,2.585,143.5,1581.0,19.4,38.7,21.98,23.59,15.52,15.07,-1.75,1.6350411132194813,0.6856232939035487,2010
Peru,2018,3.891,153.4,1468.0,20.5,37.5,23.81,21.99,17.29,19.38,6.54,2.6505449591280654,0.8139437211255774,2010
Peru,2019,3.991,156.6,1866.0,20.6,37.5,22.46,21.68,15.53,15.53,4.72,2.1387995712754555,0.6914514692787177,2010
Peru,2020,4.284,156.6,1362.0,21.4,40.0,24.07,21.61,16.38,18.59,-0.79,3.145374449339207,0.77233070211882,2020
Peru,2021,3.784,161.5,1338.0,20.9,35.9,27.53,22.45,15.42,19.45,-4.64,2.828101644245142,0.7065019978205593,2020
Peru,2022,4.461,157.9,1307.0,21.3,43.2,22.98,20.9,15.36,22.92,0.11,3.413159908186687,0.9973890339425588,2020
Peru,2023,3.19,184.7,1203.0,19.7,38.7,24.79,21.59,14.97,14.47,7.06,2.6517040731504573,0.5837031060911658,2020
Peru,2024,3.949,181.2,1387.0,20.3,41.0,28.0,21.07,13.22,21.34,0.86,2.8471521268925737,0.7621428571428571,2020
Colombia,2010,2.863,145.6,2171.0,24.2,13.8,33.48,15.74,18.02,30.6,2.52,1.3187471211423307,0.913978494623656,2010
Colombia,2011,1.801,157.1,1901.0,25.1,13.1,24.7,16.67,19.38,28.62,-2.75,0.9473961073119411,1.1587044534412956,2010
Colombia,2012,3.403,163.1,1954.0,23.1,16.5,32.54,14.5,17.69,40.77,5.69,1.7415557830092119,1.252919483712354,2010
Colombia,2013,3.833,167.9,2148.0,22.7,15.8,30.87,16.21,16.68,39.77,0.59,1.7844506517690875,1.2883057985098803,2010
Colombia,2014,2.867,176.7,1791.0,24.2,18.0,31.67,13.78,16.39,28.29,3.63,1.600781686208822,0.8932743921692453,2010
Colombia,2015,2.829,155.0,1612.0,24.5,14.7,26.37,14.97,16.19,28.15,-0.27,1.7549627791563276,1.067500948047023,2010
Colombia,2016,2.632,183.6,2572.0,24.5,16.7,33.4,14.69,16.04,40.18,2.91,1.0233281493001556,1.202994011976048,2010
Colombia,2017,1.527,176.3,2190.0,25.3,15.1,33.36,14.09,15.03,38.44,-4.01,0.6972602739726027,1.1522781774580335,2010
Colombia,2018,3.787,175.4,1443.0,23.4,14.4,34.67,14.27,14.63,28.65,4.77,2.6243936243936243,0.8263628497259878,2010
Colombia,2019,2.556,175.9,1781.0,24.6,15.9,37.82,13.29,14.89,28.92,4.95,1.4351487928130264,0.7646747752511899,2010
Colombia,2020,2.264,175.7,1625.0,24.7,15.8,33.68,12.94,14.79,22.72,-0.99,1.3932307692307693,0.6745843230403801,2020
Colombia,2021,2.509,215.2,2068.0,24.8,14.4,34.08,12.97,13.64,40.85,4.25,1.2132495164410058,1.1986502347417842,2020
Colombia,2022,2.414,200.6,2187.0,24.9,13.6,31.33,13.0,14.03,31.34,-2.44,1.1037951531778691,1.000319182891797,2020
Colombia,2023,3.143,214.7,2431.0,24.7,16.2,36.18,12.11,12.59,32.54,13.2,1.292883587001234,0.8993919292426755,2020
Colombia,2024,2.465,221.1,1779.0,25.0,18.4,41.17,12.55,12.84,43.56,7.55,1.385609893198426,1.0580519795967938,2020
Mexico,2010,3.875,173.0,841.0,22.9,38.7,61.23,12.81,20.01,58.48,0.63,4.6076099881093935,0.955087375469541,2010
Mexico,2011,3.811,194.6,591.0,21.5,36.2,70.23,12.24,19.61,62.18,5.18,6.44839255499154,0.8853766196782001,2010
Mexico,2012,3.973,182.6,687.0,20.9,34.2,65.4,11.63,17.95,57.99,8.98,5.78311499272198,0.886697247706422,2010
Mexico,2013,3.443,215.9,703.0,20.9,34.9,66.07,11.33,19.7,74.28,4.47,4.897581792318634,1.124262146208567,2010
Mexico,2014,4.047,200.6,718.0,21.4,36.3,67.13,10.5,17.96,65.4,3.39,5.6364902506963785,0.9742291077014749,2010
Mexico,2015,3.999,213.0,604.0,21.2,40.7,61.07,9.23,16.7,64.92,5.12,6.620860927152318,1.06304241034878,2010
Mexico,2016,4.552,230.9,475.0,21.9,41.3,62.69,9.97,17.07,58.47,3.69,9.583157894736843,0.932684638698357,2010
Mexico,2017,4.16,244.5,672.0,23.2,38.6,80.4,9.84,17.29,73.74,17.72,6.190476190476191,0.9171641791044775,2010
Mexico,2018,4.273,209.5,781.0,21.4,37.9,77.4,9.62,17.0,66.17,6.35,5.471190781049936,0.8549095607235142,2010
Mexico,2019,3.889,193.8,756.0,20.9,36.4,73.49,9.35,15.91,72.64,-0.37,5.144179894179894,0.9884338005170772,2010
Mexico,2020,4.264,218.7,696.0,21.9,37.6,79.94,9.04,14.68,48.35,4.95,6.126436781609195,0.6048286214660996,2020
Mexico,2021,4.33,230.1,698.0,21.9,41.9,70.45,8.0,14.83,73.67,9.98,6.203438395415473,1.0457061745919092,2020
Mexico,2022,3.982,194.3,557.0,21.1,39.2,76.54,8.42,14.98,76.9,2.3,7.149012567324955,1.0047034230467728,2020
Mexico,2023,4.176,247.4,571.0,22.1,40.9,80.02,9.05,14.36,97.17,4.1,7.313485113835377,1.2143214196450889,2020
Mexico,2024,4.535,244.4,610.0,21.2,41.8,86.54,7.43,15.09,87.4,10.75,7.434426229508197,1.0099376011093135,2020
Ecuador,2010,2.931,140.9,2231.0,24.0,19.7,13.81,26.9,36.29,12.77,5.3,1.3137606454504707,0.9246922519913106,2010
Ecuador,2011,1.049,157.8,2508.0,25.8,20.8,12.9,26.01,35.54,15.83,8.46,0.4182615629984051,1.2271317829457364,2010
Ecuador,2012,1.049,165.7,2330.0,25.5,21.0,12.28,26.6,33.15,15.07,-9.59,0.45021459227467814,1.227198697068404,2010
Ecuador,2013,3.724,164.0,2326.0,23.6,19.2,14.39,25.81,36.37,14.33,6.63,1.6010318142734308,0.9958304378040306,2010
Ecuador,2014,2.599,163.5,1935.0,24.5,20.7,11.85,25.65,33.88,16.47,5.14,1.3431524547803617,1.3898734177215188,2010
Ecuador,2015,2.148,163.8,2259.0,25.1,19.0,12.52,26.16,33.71,11.5,6.78,0.950863213811421,0.9185303514376997,2010
Ecuador,2016,2.144,150.0,2261.0,25.2,21.9,14.72,24.36,33.83,13.66,3.07,0.9482529854046882,0.9279891304347826,2010
Ecuador,2017,1.273,188.7,2674.0,25.7,21.2,14.79,25.36,33.28,16.0,8.3,0.4760658189977562,1.0818120351588911,2010
Ecuador,2018,1.707,165.1,2091.0,25.2,21.6,15.16,25.0,32.54,16.78,6.52,0.8163558106169297,1.1068601583113458,2010
Ecuador,2019,3.785,194.9,2068.0,23.4,19.7,13.91,24.33,32.21,15.36,7.48,1.8302707930367506,1.1042415528396836,2010
Ecuador,2020,2.298,184.0,2308.0,25.2,17.8,15.09,22.69,32.03,15.96,9.18,0.9956672443674177,1.0576540755467196,2020
Ecuador,2021,1.915,185.6,2068.0,25.1,21.1,15.94,24.29,31.21,18.12,7.71,0.9260154738878144,1.1367628607277291,2020
Ecuador,2022,2.232,198.7,2384.0,24.8,20.9,15.24,23.08,31.58,14.35,6.75,0.9362416107382551,0.9416010498687664,2020
Ecuador,2023,1.0,186.3,2229.0,26.7,19.8,18.77,23.19,31.09,16.78,6.78,0.4486316733961418,0.8939797549280768,2020
Ecuador,2024,1.332,211.5,2079.0,25.7,21.5,17.15,22.16,30.72,21.29,4.69,0.6406926406926406,1.241399416909621,2020
Bolivia,2010,2.581,103.0,1027.0,19.6,23.6,10.48,32.86,30.17,9.45,6.73,2.513145082765336,0.9017175572519083,2010
Bolivia,2011,1.0,113.1,951.0,17.4,15.1,11.7,31.53,29.18,10.03,8.18,1.0515247108307044,0.8572649572649572,2010
Bolivia,2012,2.925,109.1,1147.0,19.8,19.3,12.12,32.15,29.99,10.94,7.39,2.5501307759372276,0.9026402640264026,2010
Bolivia,2013,1.0,107.6,1084.0,17.5,17.0,12.55,31.6,29.84,9.67,0.39,0.922509225092251,0.7705179282868525,2010
Bolivia,2014,2.495,119.6,1009.0,19.5,18.0,11.81,30.21,28.72,10.48,2.0,2.472745292368682,0.8873835732430144,2010
Bolivia,2015,3.379,119.4,968.0,20.0,18.7,11.39,29.24,27.37,10.15,2.26,3.490702479338843,0.8911325724319579,2010
Bolivia,2016,1.573,121.8,1155.0,18.7,19.2,11.65,30.2,28.8,7.0,-3.01,1.361904761904762,0.6008583690987124,2010
Bolivia,2017,2.004,125.5,1083.0,19.0,18.5,12.83,30.52,27.33,12.51,6.09,1.850415512465374,0.9750584567420109,2010
Bolivia,2018,1.377,133.8,1013.0,18.7,22.4,9.64,28.75,25.97,10.63,3.98,1.3593287265547878,1.1026970954356847,2010
Bolivia,2019,3.373,120.8,897.0,20.6,23.2,11.73,29.08,25.6,7.86,4.53,3.7603121516164992,0.670076726342711,2010
Bolivia,2020,1.095,131.2,808.0,18.1,20.1,12.62,29.25,25.08,12.84,1.8,1.3551980198019802,1.01743264659271,2020
Bolivia,2021,1.701,134.1,835.0,18.5,20.7,13.0,28.62,26.67,13.31,3.97,2.037125748502994,1.0238461538461539,2020
Bolivia,2022,1.0,154.9,1235.0,17.8,18.3,14.01,27.77,24.27,11.34,6.68,0.8097165991902834,0.8094218415417559,2020
Bolivia,2023,1.0,132.3,919.0,18.2,18.6,14.97,28.28,25.42,10.86,4.26,1.088139281828074,0.7254509018036072,2020
Bolivia,2024,1.0,114.7,835.0,17.3,16.0,11.58,28.59,24.37,13.54,6.64,1.1976047904191616,1.169257340241796,2020
Paraguay,2010,3.497,115.2,1387.0,23.0,20.9,9.1,22.29,28.06,9.15,1.83,2.521268925739005,1.0054945054945055,2010
Paraguay,2011,3.077,127.3,1396.0,23.8,24.8,9.56,23.71,27.23,10.48,5.27,2.2041547277936964,1.096234309623431,2010
Paraguay,2012,3.869,109.0,1273.0,21.3,24.4,12.1,21.92,27.41,7.81,2.49,3.0392772977219167,0.6454545454545454,2010
Paraguay,2013,3.632,126.9,1571.0,22.2,24.7,11.3,22.58,26.49,9.16,4.54,2.3119032463399107,0.8106194690265487,2010
Paraguay,2014,3.535,135.6,1401.0,23.1,26.0,12.99,21.58,26.66,8.62,5.09,2.523197715917202,0.6635873749037721,2010
Paraguay,2015,3.572,147.0,1357.0,22.4,25.5,9.99,20.29,26.56,9.95,6.0,2.632277081798084,0.9959959959959959,2010
Paraguay,2016,3.234,134.2,1613.0,23.3,23.7,12.12,20.96,24.11,10.04,8.38,2.004959702417855,0.8283828382838284,2010
Paraguay,2017,3.699,130.5,1119.0,21.9,23.6,10.87,21.27,25.73,9.31,-4.92,3.3056300268096517,0.8564857405703773,2010
Paraguay,2018,3.867,151.2,867.0,22.4,21.4,14.43,20.19,25.08,11.1,12.34,4.460207612456747,0.7692307692307693,2010
Paraguay,2019,3.554,145.3,1068.0,23.6,22.5,13.45,20.29,23.31,10.54,8.87,3.3277153558052435,0.7836431226765799,2010
Paraguay,2020,3.801,128.0,1281.0,23.3,20.4,13.37,20.53,24.19,10.5,12.44,2.9672131147540983,0.7853403141361257,2020
Paraguay,2021,4.167,153.1,1723.0,22.5,22.8,15.71,19.96,23.23,8.93,14.24,2.4184561810795127,0.5684277530235519,2020
Paraguay,2022,3.996,141.2,1443.0,22.7,24.1,16.49,18.62,23.45,13.35,6.86,2.769230769230769,0.8095815645845967,2020
Paraguay,2023,3.858,145.8,1236.0,22.6,24.1,17.59,18.06,23.4,9.98,6.51,3.121359223300971,0.5673678226264923,2020
Paraguay,2024,3.877,167.9,1494.0,23.5,22.1,18.16,19.04,21.28,11.16,6.46,2.5950468540829985,0.6145374449339207,2020
Uruguay,2010,1.0,173.7,787.0,17.7,13.7,6.88,9.06,5.87,5.95,6.35,1.2706480304955527,0.8648255813953489,2010
Uruguay,2011,1.0,155.5,1413.0,17.6,15.1,7.13,9.82,5.02,6.71,7.3,0.7077140835102619,0.9410939691444601,2010
Uruguay,2012,1.0,180.2,1153.0,17.9,13.3,8.37,8.82,4.38,8.06,4.96,0.8673026886383348,0.9629629629629631,2010
Uruguay,2013,1.0,164.6,1521.0,16.8,16.9,10.21,7.59,5.36,8.25,8.88,0.6574621959237343,0.8080313418217433,2010
Uruguay,2014,1.507,170.2,1170.0,18.4,17.4,9.78,7.25,3.98,8.35,7.62,1.2880341880341881,0.8537832310838446,2010
Uruguay,2015,1.0,172.7,1066.0,17.4,11.4,10.29,7.45,3.0,4.14,0.01,0.9380863039399625,0.40233236151603496,2010
Uruguay,2016,1.0,170.9,1252.0,17.0,17.7,10.46,7.37,4.23,9.19,3.77,0.7987220447284346,0.8785850860420649,2010
Uruguay,2017,1.0,178.2,1273.0,18.1,14.2,12.39,6.83,3.81,7.78,12.14,0.7855459544383346,0.6279257465698144,2010
Uruguay,2018,1.0,198.1,1096.0,17.5,16.0,12.53,6.62,3.0,6.42,-0.71,0.9124087591240876,0.5123703112529928,2010
Uruguay,2019,1.461,190.2,1362.0,18.2,10.7,11.98,6.2,3.0,6.26,3.44,1.0726872246696035,0.5225375626043405,2010
Uruguay,2020,1.297,198.0,1281.0,18.3,16.1,13.54,5.51,3.0,6.53,6.31,1.0124902419984387,0.482274741506647,2020
Uruguay,2021,1.0,186.8,1197.0,17.7,13.4,12.98,5.04,3.0,6.71,7.85,0.835421888053467,0.5169491525423728,2020
Uruguay,2022,2.617,190.5,1110.0,19.3,16.3,13.75,5.7,3.0,8.19,12.99,2.357657657657658,0.5956363636363636,2020
Uruguay,2023,1.715,202.6,1279.0,19.0,11.8,12.69,5.23,3.0,10.19,3.74,1.3408913213448006,0.8029944838455476,2020
Uruguay,2024,1.122,186.6,804.0,18.1,15.6,14.84,5.45,3.0,8.11,-3.54,1.3955223880597014,0.5464959568733153,2020
